date_modified,rib.active_routes_count,rib.backup_routes_count,rib.deleted_routes_count,rib.paths_count,rib.protocol_route_memory,rib.routes_counts,router_id,total_paths,total_prefixes
2022-09-04T02:07:49.412Z,11,0,0,11,1760,11,1.1.1.3,36,30
2022-09-04T02:07:49.412Z,11,0,0,11,1760,11,1.1.1.3,36,30
2022-09-04T02:07:49.412Z,11,0,0,11,1760,11,1.1.1.3,36,30
2022-09-04T02:08:08.234Z,11,0,0,11,1760,11,1.1.1.3,36,30
2022-09-04T02:08:12.105Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:08:12.105Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:08:12.105Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:08:12.105Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:08:34.850Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:08:34.850Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:08:34.850Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:08:34.850Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:08:55.479Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:08:57.385Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:08:57.385Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:08:57.385Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:09:16.499Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:09:20.435Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:09:20.435Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:09:20.435Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:09:20.435Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:09:42.573Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:09:44.638Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:09:44.638Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:09:44.638Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:09:44.638Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:10:09.024Z,11,0,0,11,1760,11,1.1.1.3,36,30
2022-09-04T02:10:09.024Z,11,0,0,11,1760,11,1.1.1.3,36,30
2022-09-04T02:10:09.024Z,11,0,0,11,1760,11,1.1.1.3,36,30
2022-09-04T02:10:09.024Z,11,0,0,11,1760,11,1.1.1.3,36,30
2022-09-04T02:10:29.739Z,11,3,0,14,2240,14,1.1.1.3,36,30
